Month,Outlet ID,Outlet Name,KA Manager,Segment,Closed Month Volume Actual,Closed Month Volume Target,Closed Month Volume Achievement,Closed Month Visit Completion,Closed Month JP Adherence,Closed Month Fridge Productivity,Closed Month Execution Actual,Closed Month Execution Target,Closed Month Execution Achievement
Jan 2026,178430,Faceoff,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,257457,Kategna Bar and Restaurant,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000359,Kaleb Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000401,Beer Garden Inn.,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000403,Bonanza Addis Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000506,Saro-maria Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000507,Friendship Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000762,Relianece hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000770,Ramada Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000772,Yober Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1000814,2000 Habesha Cultural House,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1001071,Antica Bar and Restaurant,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1001090,Bole Wings Bar and Restaurant,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1001703,Ethiopia Hotel No. 2,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1001746,Right Bar and Res,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1001794,Washington Hotel,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1001845,Desalegn Hotel,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1003197,Nega Bonger Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1004020,Kategna Bar and Restaurant,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1004044,Desalech Kitfo bet,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1004409,Megersa Batu,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1005178,Teshomeche Cultural Restaurant,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1008584,Marriott Hotel,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1008894,Kenenisa Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1009121,Foyat Hotel,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
Jan 2026,1009628,greek club,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1009656,the lions den hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1011735,Sabon Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1011906,Momona Hotel,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1011907,Friendship Supermarket,Netsanet,Unspecified,0.0,0.0,,,,,,,
Jan 2026,1014298,Double Black Bar and Restaurant,Netsanet,Unspecified,0.0,0.0,,,,0.0,,,
