Date,Outlet ID,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Outlet Name,KA Manager,Segment
2026-06-01,1008852,1.0,0.0,0.0,0.0,,Joni Hotel,Chandra,Unspecified
2026-06-01,1015124,1.0,0.0,0.0,0.0,,Golden plus Bar and Resturant,Chandra,Unspecified
2026-06-01,1018357,1.0,0.0,0.0,0.0,,Eliana Hotel,Chandra,Unspecified
2026-06-01,1207099,1.0,0.0,0.0,0.0,,Asko level 5 Hotel,Chandra,Unspecified
2026-06-01,1235717,1.0,0.0,0.0,0.0,,Monarch Hotel,Chandra,Unspecified
2026-06-01,1567781,1.0,0.0,0.0,0.0,,Cheru medihaniyalem  liyu kurt,Alemayehu,Unspecified
2026-06-01,1574246,1.0,0.0,0.0,0.0,,One View Bar and Restaurant,Chandra,Unspecified
2026-06-01,1579550,1.0,0.0,0.0,0.0,,bricks lounge,Alemayehu,Unspecified
2026-06-01,2003128,1.0,0.0,0.0,0.0,,wecare special kurt,Alemayehu,Unspecified
2026-06-01,2048809,1.0,0.0,0.0,0.0,,abem Hotel,Chandra,Unspecified
2026-06-01,2123024,1.0,0.0,0.0,0.0,,Hop Lounge,Alemayehu,Unspecified
2026-06-01,2196866,1.0,0.0,0.0,0.0,,Yonas chercher buchery no3,Alemayehu,Unspecified
2026-06-01,2254017,1.0,0.0,0.0,0.0,,Fekire  kunespagna,Alemayehu,Unspecified
2026-06-01,2608618,1.0,0.0,0.0,0.0,,lexury winner  fiyel bet,Alemayehu,Unspecified
2026-06-01,2837203,1.0,0.0,0.0,0.0,,Zegeye kurt bet,Alemayehu,Unspecified
2026-06-01,2933482,1.0,0.0,0.0,0.0,,Chuchu supermarket and restaurant,Alemayehu,Unspecified
2026-06-01,2938660,1.0,0.0,0.0,0.0,,L-classice,Alemayehu,Unspecified
2026-06-02,1001090,1.0,1.0,1.0,1.0,1.0,Bole Wings Bar and Restaurant,Netsanet,Unspecified
2026-06-02,1001420,1.0,0.0,0.0,0.0,,Shewa Hotel,Chandra,Unspecified
2026-06-02,1001901,1.0,0.0,0.0,0.0,,St.Gorge House,Chandra,Unspecified
2026-06-02,1002706,1.0,0.0,0.0,0.0,,Wegagen Hotel,Chandra,Unspecified
2026-06-02,1002844,1.0,0.0,0.0,0.0,,National Hotel,Chandra,Unspecified
2026-06-02,1002879,1.0,0.0,0.0,0.0,,Roma Bar,Chandra,Unspecified
2026-06-02,1002955,1.0,0.0,0.0,0.0,,KG Corner Bar and Restaurant,Chandra,Unspecified
2026-06-02,1005178,1.0,1.0,1.0,1.0,1.0,Teshomeche Cultural Restaurant,Netsanet,Unspecified
2026-06-02,1008584,1.0,0.0,0.0,0.0,,Marriott Hotel,Netsanet,Unspecified
2026-06-02,1009628,1.0,1.0,1.0,1.0,1.0,greek club,Netsanet,Unspecified
2026-06-02,1009656,1.0,1.0,1.0,1.0,1.0,the lions den hotel,Netsanet,Unspecified
2026-06-02,1023050,1.0,1.0,1.0,1.0,1.0,Rodeo Addis,Netsanet,Unspecified
2026-06-02,1025261,1.0,1.0,1.0,1.0,1.0,Bambis supermarket,Alemayehu,Unspecified
2026-06-02,1061637,1.0,1.0,1.0,1.0,1.0,,Unassigned,Unspecified
2026-06-02,1090267,1.0,1.0,1.0,1.0,1.0,ASB Hotel Properties Plc,Netsanet,Unspecified
2026-06-02,1213545,1.0,0.0,0.0,0.0,,70 Dereja,Alemayehu,Unspecified
2026-06-02,1234427,1.0,1.0,1.0,1.0,1.0,DE Lopol  Hotel,Netsanet,Unspecified
2026-06-02,1567318,1.0,0.0,0.0,0.0,,Hakim Bar and Restaurant,Chandra,Unspecified
2026-06-02,1591828,1.0,1.0,1.0,1.0,1.0,lidu hotel,Netsanet,Unspecified
2026-06-02,1626495,0.0,1.0,0.0,,0.0,The Resedence Hotel,Netsanet,Unspecified
2026-06-02,1631723,1.0,1.0,1.0,1.0,1.0,Hotto Restaurant,Netsanet,Unspecified
2026-06-02,1710068,1.0,1.0,1.0,1.0,1.0,Best Western Premier hotel,Netsanet,Unspecified
2026-06-02,2275518,1.0,1.0,1.0,1.0,1.0,Bamies Bistro,Alemayehu,Unspecified
2026-06-02,2495983,1.0,1.0,1.0,1.0,1.0,Hundaf bar no3,Alemayehu,Unspecified
2026-06-02,2675988,1.0,1.0,1.0,1.0,1.0,Tadese Asa Bete,Alemayehu,Unspecified
