__table__,Outlet ID,Outlet Name,KA Manager,Employee ID,Segment,Is Active,Has Fridge,Has Draught,Draught Installed,__empty__,Date,SKU,Sales Unit,Actual Volume,Category,Raw Actual Volume,Crate Equivalent Factor,Target Date,Target Month,Full Month Target,Raw Full Month Target,Target Crate Equivalent Factor,Source Employee ID,Target Owner Mapping,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Is Working Day,KPI,Weight,Included Final,Key,Value
outlets,1000201,Haletawe Ha,London,2526,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1216866,On Time,Alemayehu,3359,Hotel,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1812667,Zanzi,Alemayehu,3359,Hotel,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2955405,Yod Abiysinia cultural,Chandra,295,Cultural house,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1126573,BaBis Bistro,Chandra,295,Restaurant,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1003431,Benazo Lounge,Chandra,295,lounge,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1118070,Bridge lounge,Chandra,295,lounge,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1202045,Haykoch Lounge,Chandra,295,lounge,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1062558,Watot lounge,Chandra,295,lounge,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1003551,Yeder Lounge,Chandra,295,lounge,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1027080,Zebasil Lounge,Chandra,295,lounge,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1003432,Zemen Lounge,Chandra,295,lounge,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2960384,Table 5,London,2526,lounge,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2766615,Fantu supermarket,Netsanet,215,Supermarket,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1011907,Friendship Supermarket,Netsanet,215,Supermarket,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
